treatment_effect,recommendation
0.7771406649686335,High discount impact
0.7652094090136675,High discount impact
0.7188937754021774,Normal discount impact
0.8025368988066698,High discount impact
0.7073156318618438,Normal discount impact
0.7307594046592629,Normal discount impact
0.7855301760659211,High discount impact
0.7166484859497234,Normal discount impact
0.7365940926024716,Normal discount impact
0.6962481072146786,Normal discount impact
0.699001975372301,Normal discount impact
0.7535724371139014,High discount impact
0.7712972470900343,High discount impact
0.779987954010886,High discount impact
0.7424132406095527,High discount impact
0.6759059887830864,Normal discount impact
0.7334942295714412,Normal discount impact
0.6842789891283823,Normal discount impact
0.7394610906218233,Normal discount impact
0.7944546573830877,High discount impact
0.7651287583632579,High discount impact
0.7798608873235916,High discount impact
0.6701185159165183,Normal discount impact
0.7252143205391414,Normal discount impact
0.7625745896905797,High discount impact
0.6992649131136603,Normal discount impact
0.7448694940511934,High discount impact
0.8000875045838798,High discount impact
0.7283553014467516,Normal discount impact
0.7593224534531456,High discount impact
0.7942472779669978,High discount impact
0.7483132627128435,High discount impact
0.7163675279556444,Normal discount impact
0.7191341131165593,Normal discount impact
0.8114448912642315,High discount impact
0.794469259249148,High discount impact
0.6786678561744096,Normal discount impact
0.7714654043780835,High discount impact
0.6902722029050408,Normal discount impact
0.7194555587195928,Normal discount impact
0.7101045462737348,Normal discount impact
0.7771310982996776,High discount impact
0.7109612336943982,Normal discount impact
0.6816350302094015,Normal discount impact
0.7422432634455108,High discount impact
0.7159712168363465,Normal discount impact
0.6988271772501393,Normal discount impact
0.7534901153348899,High discount impact
0.6757862472178465,Normal discount impact
0.7335830001798352,Normal discount impact
0.7482719596339227,High discount impact
0.794710551837636,High discount impact
0.6902781221109646,Normal discount impact
0.7971644738511852,High discount impact
0.6903556652380315,Normal discount impact
0.8001304102361836,High discount impact
0.79374791740602,High discount impact
0.7106412905889461,Normal discount impact
0.7332663497404197,Normal discount impact
0.7796748023596296,High discount impact
0.7744710801591822,High discount impact
0.687069689635092,Normal discount impact
0.670194862726787,Normal discount impact
0.6873344185389516,Normal discount impact
0.7913903421259897,High discount impact
0.692820149173549,Normal discount impact
0.7539698149993764,High discount impact
0.7164862987954533,Normal discount impact
0.7339658802290185,Normal discount impact
0.8057129338636123,High discount impact
0.7796177637924735,High discount impact
0.696280588482307,Normal discount impact
0.7629037894857926,High discount impact
0.7217586696446389,Normal discount impact
0.7569322899150219,High discount impact
0.7050685676766996,Normal discount impact
0.6905003589153929,Normal discount impact
0.705006255973843,Normal discount impact
0.7450802787567072,High discount impact
0.7968810518089484,High discount impact
0.7280893981777276,Normal discount impact
0.7162912384090084,Normal discount impact
0.8030231601168881,High discount impact
0.7389280656414721,Normal discount impact
0.8172002967590857,High discount impact
0.7450198530724403,High discount impact
0.7367680930605469,Normal discount impact
0.7507417056887797,High discount impact
0.8057257411535095,High discount impact
0.794149980760461,High discount impact
0.756681219122781,High discount impact
0.7078033591024195,Normal discount impact
0.8001316166185786,High discount impact
0.6675638728475962,Normal discount impact
0.7396001875389538,Normal discount impact
0.6987333595238927,Normal discount impact
0.6960561359847264,Normal discount impact
0.7393973085707556,Normal discount impact
0.6758726010883929,Normal discount impact
0.7999750365516903,High discount impact
0.6876044337965921,Normal discount impact
0.7365294058095444,Normal discount impact
0.7074782103206864,Normal discount impact
0.724831034903867,Normal discount impact
0.6960122055262533,Normal discount impact
0.7741714690095629,High discount impact
0.7682656492350609,High discount impact
0.7653542033975681,High discount impact
0.6788977011816155,Normal discount impact
0.7915460758997088,High discount impact
0.7773108727519682,High discount impact
0.7829259780288378,High discount impact
0.7511025352687506,High discount impact
0.7071985732288727,Normal discount impact
0.7017331208229324,Normal discount impact
0.698924418935546,Normal discount impact
0.7047698210529844,Normal discount impact
0.7597333759676963,High discount impact
0.7655013862673606,High discount impact
0.7394124087529194,Normal discount impact
0.7393406320699963,Normal discount impact
0.7742432762720498,High discount impact
0.776897688096236,High discount impact
0.8028045403198976,High discount impact
0.7940715940163514,High discount impact
0.7335591391299291,Normal discount impact
0.7452449170665567,High discount impact
0.7572910938820266,High discount impact
0.6702506617693071,Normal discount impact
0.7599820885238073,High discount impact
0.7770037907949536,High discount impact
0.8001174662116527,High discount impact
0.7133938621789228,Normal discount impact
0.6842036519921791,Normal discount impact
0.6785303541160899,Normal discount impact
0.6816802111702902,Normal discount impact
0.7423358197352443,High discount impact
0.7133947789732954,Normal discount impact
0.7715306916632811,High discount impact
0.7593911318480027,High discount impact
0.7017426764443413,Normal discount impact
0.7162317966358912,Normal discount impact
0.7133930616781095,Normal discount impact
0.745145020545681,High discount impact
0.7914658404530656,High discount impact
0.6964148198995167,Normal discount impact
0.7568415739357356,High discount impact
0.7883835742605688,High discount impact
0.7654989152258018,High discount impact
0.6985227713637573,Normal discount impact
0.7566956563819556,High discount impact
0.7797268932571219,High discount impact
0.7393594230969014,Normal discount impact
0.7857656697844949,High discount impact
0.8085874375762779,High discount impact
0.7134199117276186,Normal discount impact
0.7888171690567234,High discount impact
0.7510430028141345,High discount impact
0.7880780042055838,High discount impact
0.7160192415465486,Normal discount impact
0.7568780835943159,High discount impact
0.6846558015996547,Normal discount impact
0.733665503645771,Normal discount impact
0.753832800038092,High discount impact
0.6871955887179051,Normal discount impact
0.8110421590166819,High discount impact
0.8000630739362486,High discount impact
0.6929273620010624,Normal discount impact
0.7594387592312607,High discount impact
0.7481621937900192,High discount impact
0.8029369605779281,High discount impact
0.7997990440080386,High discount impact
0.7223743249038234,Normal discount impact
0.7707531095442959,High discount impact
0.7048001612767683,Normal discount impact
0.7453248659260305,High discount impact
0.7452084440668089,High discount impact
0.7798347337158911,High discount impact
0.759725106280371,High discount impact
0.6815880843970278,Normal discount impact
0.748040677015732,High discount impact
0.7104340708457746,Normal discount impact
0.7885672516182564,High discount impact
0.6759486394081852,Normal discount impact
0.7827345556795362,High discount impact
0.6818737493361247,Normal discount impact
0.7130051332137417,Normal discount impact
0.7509354756406491,High discount impact
0.69887684600803,Normal discount impact
0.7771013671910191,High discount impact
0.768281495744516,High discount impact
0.7859400883770221,High discount impact
0.8028332783343813,High discount impact
0.7365693578444115,Normal discount impact
0.716319699940501,Normal discount impact
0.7568727581710565,High discount impact
0.770948092496558,High discount impact
0.7337905949010728,Normal discount impact
0.7913809214160241,High discount impact
0.7131701622937346,Normal discount impact
0.774322612892751,High discount impact
0.6787470325865883,Normal discount impact
0.6788419389102018,Normal discount impact
0.7686310401959532,High discount impact
0.710798088800059,Normal discount impact
0.6759799332683907,Normal discount impact
0.6787290065867218,Normal discount impact
0.7453105977149861,High discount impact
0.736620971537769,Normal discount impact
0.7966566154460877,High discount impact
0.7568609070405017,High discount impact
0.7711103458335814,High discount impact
0.6757381863933866,Normal discount impact
0.7194124980359724,Normal discount impact
0.673085179594989,Normal discount impact
0.8112872176122072,High discount impact
0.7339259648841701,Normal discount impact
0.7736239340593188,High discount impact
0.6819672134083268,Normal discount impact
0.7625121404013286,High discount impact
0.6815329071396132,Normal discount impact
0.7185937932896564,Normal discount impact
0.7135763898241724,Normal discount impact
0.7770016100107359,High discount impact
0.7339727495423023,Normal discount impact
0.6790337724005538,Normal discount impact
0.7767271407879446,High discount impact
0.6791325424263707,Normal discount impact
0.7364931340957802,Normal discount impact
0.7074995426283996,Normal discount impact
0.710558595980561,Normal discount impact
0.7739882299533517,High discount impact
0.6960239899551908,Normal discount impact
0.6929541803268816,Normal discount impact
0.7164303202872186,Normal discount impact
0.7624435585243753,High discount impact
0.6789008695678207,Normal discount impact
0.7278750668042039,Normal discount impact
0.7741777160329227,High discount impact
0.744666263557377,High discount impact
0.7536488028566355,High discount impact
0.6816253308275962,Normal discount impact
0.7221428139370514,Normal discount impact
0.7138622533345454,Normal discount impact
0.7792927115317693,High discount impact
0.6903302914152447,Normal discount impact
0.788448794195096,High discount impact
0.7625733591560068,High discount impact
0.782805028632241,High discount impact
0.7742906667325983,High discount impact
0.7164512596756961,Normal discount impact
0.7914109267155216,High discount impact
0.6674708337005401,Normal discount impact
0.6932869200789231,Normal discount impact
0.7480606285718541,High discount impact
0.7480416891031945,High discount impact
0.7365008760358643,Normal discount impact
0.7624023917466128,High discount impact
0.7567639715748599,High discount impact
0.7913928715581672,High discount impact
0.7739834606875394,High discount impact
0.6846335962846924,Normal discount impact
0.7106902517775684,Normal discount impact
0.7480751680259115,High discount impact
0.678593868381089,Normal discount impact
0.6702428226731865,Normal discount impact
0.7187603030223959,Normal discount impact
0.6901558860384475,Normal discount impact
0.7797704630595789,High discount impact
0.7654121585844506,High discount impact
0.6933308253826024,Normal discount impact
0.8025864045578923,High discount impact
0.7740611185083481,High discount impact
0.7166359389769116,Normal discount impact
0.7162799319541033,Normal discount impact
0.6731821048843352,Normal discount impact
0.7194302737827754,Normal discount impact
0.7421461060563238,High discount impact
0.7708991518028123,High discount impact
0.7423294910800957,High discount impact
0.7185865596790207,Normal discount impact
0.6931879514701347,Normal discount impact
0.7740778957190657,High discount impact
0.7799021536618169,High discount impact
0.7828577559389994,High discount impact
0.7223867955078408,Normal discount impact
0.7740006264990426,High discount impact
0.7422983879686202,High discount impact
0.7627550739547895,High discount impact
0.7564818054141768,High discount impact
0.7538192593337477,High discount impact
0.7333873810307596,Normal discount impact
0.803070640438361,High discount impact
0.7248939767729954,Normal discount impact
0.6646593143144337,Normal discount impact
0.7739655822090745,High discount impact
0.7275127971507499,Normal discount impact
0.7941065632925285,High discount impact
0.7657808384008724,High discount impact
0.7656335516209805,High discount impact
0.6816422616904357,Normal discount impact
0.762553080067019,High discount impact
0.7161081399314745,Normal discount impact
0.7337256063654815,Normal discount impact
0.7333877340755072,Normal discount impact
0.6933652206630915,Normal discount impact
0.6904027863298343,Normal discount impact
0.6843701871261015,Normal discount impact
0.722016777306825,Normal discount impact
0.7712059256135677,High discount impact
0.7075760988255483,Normal discount impact
0.733594717501741,Normal discount impact
0.7447992251148007,High discount impact
0.8028689553037964,High discount impact
0.7538644920344957,High discount impact
0.779817459164025,High discount impact
0.7966865900666175,High discount impact
0.8056151912378281,High discount impact
0.6931820226356148,Normal discount impact
0.7423966470633305,High discount impact
0.7425400707277002,High discount impact
0.7711498156180725,High discount impact
0.7222210774277367,Normal discount impact
0.7623672177349029,High discount impact
0.7571339029664808,High discount impact
0.7509285879414247,High discount impact
0.7976136638418684,High discount impact
0.768305682272154,High discount impact
0.6816353600032337,Normal discount impact
0.727747278215846,Normal discount impact
0.6760340849278973,Normal discount impact
0.7740575996112363,High discount impact
0.7248227918121276,Normal discount impact
0.8055230521715389,High discount impact
0.7565736660931963,High discount impact
0.7594993791305473,High discount impact
0.7510927678084837,High discount impact
0.8001454407895701,High discount impact
0.6957552849565085,Normal discount impact
0.7740694124784409,High discount impact
0.7913923816232298,High discount impact
0.785492741928407,High discount impact
0.7365732112085432,Normal discount impact
0.7481924870664008,High discount impact
0.79749805319771,High discount impact
0.7568899869317417,High discount impact
0.7742281264051606,High discount impact
0.7767286653085026,High discount impact
0.7279274833509494,Normal discount impact
0.7625530247883525,High discount impact
0.7309690866769035,Normal discount impact
0.7570289914057801,High discount impact
0.6760411585615539,Normal discount impact
0.7361684946172755,Normal discount impact
0.7422174330136445,High discount impact
0.7913652865427198,High discount impact
