customer_id,age,gender,income,previous_purchases,discount,sales,treatment_effect,recommendation
10001,56,Male,41672.01,3,10,134.37,0.7771406649686335,Medium Discount
10002,46,Female,78217.36,8,10,156.26,0.7652094090136675,Medium Discount
10003,32,Female,28279.79,6,15,159.31,0.7188937754021774,Medium Discount
10004,60,Female,17017.91,7,10,155.53,0.8025368988066698,High Discount
10005,25,Male,56600.22,10,0,143.45,0.7073156318618438,Medium Discount
10006,38,Male,42469.19,5,10,129.53,0.7307594046592629,Medium Discount
10007,56,Male,34681.51,6,15,158.02,0.7855301760659211,Medium Discount
10008,36,Male,60625.35,2,25,149.95,0.7166484859497234,Medium Discount
10009,40,Male,53657.01,5,10,155.47,0.7365940926024716,Medium Discount
10010,28,Male,41538.82,3,20,155.36,0.6962481072146786,Low Discount
10011,28,Male,30795.43,4,30,158.55,0.699001975372301,Low Discount
10012,41,Male,63086.86,10,20,204.11,0.7535724371139014,Medium Discount
10013,53,Female,59753.02,3,20,161.57,0.7712972470900343,Medium Discount
10014,57,Female,48512.36,2,25,160.06,0.779987954010886,Medium Discount
10015,41,Male,77699.55,6,5,171.53,0.7424132406095527,Medium Discount
10016,20,Male,33948.73,4,30,165.18,0.6759059887830864,Low Discount
10017,39,Female,27117.12,4,20,160.15,0.7334942295714412,Medium Discount
10018,19,Male,39621.38,8,20,174.67,0.6842789891283823,Low Discount
10019,41,Male,49316.21,5,5,132.16,0.7394610906218233,Medium Discount
10020,61,Male,53650.09,4,25,180.25,0.7944546573830877,Medium Discount
10021,47,Female,46381.46,7,30,174.25,0.7651287583632579,Medium Discount
10022,55,Female,55280.83,4,20,168.75,0.7798608873235916,Medium Discount
10023,19,Female,31226.91,2,15,132.96,0.6701185159165183,Low Discount
10024,38,Female,71656.47,2,25,175.29,0.7252143205391414,Medium Discount
10025,50,Female,48767.73,3,30,193.92,0.7625745896905797,Medium Discount
10026,29,Male,66759.44,3,20,167.03,0.6992649131136603,Low Discount
10027,39,Female,55140.88,8,20,186.2,0.7448694940511934,Medium Discount
10028,61,Male,56851.3,6,5,151.32,0.8000875045838798,High Discount
10029,42,Male,58546.51,0,30,148.33,0.7283553014467516,Medium Discount
10030,44,Female,56715.63,8,15,180.68,0.7593224534531456,Medium Discount
10031,59,Female,59640.84,5,25,190.64,0.7942472779669978,Medium Discount
10032,45,Male,69937.29,4,10,146.45,0.7483132627128435,Medium Discount
10033,33,Male,52947.82,5,0,129.99,0.7163675279556444,Medium Discount
10034,32,Male,60635.06,7,15,198.7,0.7191341131165593,Medium Discount
10035,64,Female,48653.96,6,10,135.95,0.8114448912642315,High Discount
10036,61,Female,71601.76,3,15,144.02,0.794469259249148,Medium Discount
10037,20,Female,39854.12,4,30,180.09,0.6786678561744096,Low Discount
10038,54,Female,77014.11,2,10,124.88,0.7714654043780835,Medium Discount
10039,24,Female,49397.63,4,30,180.94,0.6902722029050408,Low Discount
10040,38,Male,28538.37,1,10,105.03,0.7194555587195928,Medium Discount
10041,26,Female,51921.57,9,15,191.89,0.7101045462737348,Medium Discount
10042,56,Male,39784.23,3,5,108.87,0.7771310982996776,Medium Discount
10043,35,Male,62609.65,1,15,128.28,0.7109612336943982,Medium Discount
10044,21,Male,40210.64,5,30,182.87,0.6816350302094015,Low Discount
10045,42,Female,43307.25,4,15,155.2,0.7422432634455108,Medium Discount
