customer_id,age,gender,income,previous_purchases,discount,sales
10001,56,Male,41672.01,3,10,134.37
10002,46,Female,78217.36,8,10,156.26
10003,32,Female,28279.79,6,15,159.31
10004,60,Female,17017.91,7,10,155.53
10005,25,Male,56600.22,10,0,143.45
10006,38,Male,42469.19,5,10,129.53
10007,56,Male,34681.51,6,15,158.02
10008,36,Male,60625.35,2,25,149.95
10009,40,Male,53657.01,5,10,155.47
10010,28,Male,41538.82,3,20,155.36
10011,28,Male,30795.43,4,30,158.55
10012,41,Male,63086.86,10,20,204.11
10013,53,Female,59753.02,3,20,161.57
10014,57,Female,48512.36,2,25,160.06
10015,41,Male,77699.55,6,5,171.53
10016,20,Male,33948.73,4,30,165.18
10017,39,Female,27117.12,4,20,160.15
10018,19,Male,39621.38,8,20,174.67
10019,41,Male,49316.21,5,5,132.16
10020,61,Male,53650.09,4,25,180.25
10021,47,Female,46381.46,7,30,174.25
10022,55,Female,55280.83,4,20,168.75
10023,19,Female,31226.91,2,15,132.96
10024,38,Female,71656.47,2,25,175.29
10025,50,Female,48767.73,3,30,193.92
10026,29,Male,66759.44,3,20,167.03
10027,39,Female,55140.88,8,20,186.2
10028,61,Male,56851.3,6,5,151.32
10029,42,Male,58546.51,0,30,148.33
10030,44,Female,56715.63,8,15,180.68
10031,59,Female,59640.84,5,25,190.64
10032,45,Male,69937.29,4,10,146.45
10033,33,Male,52947.82,5,0,129.99
10034,32,Male,60635.06,7,15,198.7
10035,64,Female,48653.96,6,10,135.95
10036,61,Female,71601.76,3,15,144.02
10037,20,Female,39854.12,4,30,180.09
10038,54,Female,77014.11,2,10,124.88
10039,24,Female,49397.63,4,30,180.94
10040,38,Male,28538.37,1,10,105.03
10041,26,Female,51921.57,9,15,191.89
10042,56,Male,39784.23,3,5,108.87
10043,35,Male,62609.65,1,15,128.28
10044,21,Male,40210.64,5,30,182.87
10045,42,Female,43307.25,4,15,155.2
10046,31,Female,21656.89,6,10,150.46
10047,26,Female,43215.41,5,0,121.8
10048,43,Male,15000.0,8,10,135.01
10049,19,Male,26241.46,5,20,150.5
10050,37,Male,61406.22,7,15,176.2
10051,45,Male,61787.0,4,25,165.99
10052,64,Male,56381.86,1,15,124.48
10053,24,Male,35495.36,5,5,120.47
10054,61,Female,49284.33,4,30,192.48
10055,25,Female,49945.96,3,25,156.49
10056,64,Female,32624.53,2,10,118.95
10057,52,Female,72550.97,12,5,185.2
10058,31,Male,63160.43,5,15,150.9
10059,34,Male,46685.54,10,10,174.55
10060,53,Female,50403.29,6,10,148.68
10061,57,Male,53125.74,1,20,110.4
10062,21,Female,19373.98,6,20,162.28
10063,19,Female,46292.34,2,0,106.24
10064,23,Female,39770.24,4,20,158.4
10065,59,Male,34975.7,5,30,180.38
10066,21,Female,45783.5,8,25,188.55
10067,46,Female,76965.3,4,10,127.35
10068,35,Female,59612.64,2,20,129.38
10069,43,Male,41432.32,1,0,77.41
10070,61,Male,58588.74,8,15,201.86
10071,51,Female,70990.33,8,25,184.82
10072,27,Male,63869.51,4,20,170.94
10073,53,Male,50894.46,1,10,101.67
10074,31,Male,40295.95,9,15,176.29
10075,48,Male,60473.35,4,30,177.86
10076,32,Male,55902.28,2,10,105.28
10077,25,Male,63427.9,4,15,152.47
10078,31,Male,59527.58,3,30,181.39
10079,40,Male,65743.29,8,30,228.56
10080,57,Male,41971.47,9,25,188.63
10081,38,Male,69760.91,4,10,150.62
10082,33,Female,52963.99,4,20,167.4
10083,62,Female,81128.91,5,20,184.81
10084,35,Male,39662.18,11,0,153.62
10085,64,Female,76039.46,8,15,192.6
10086,41,Female,52968.66,6,0,122.88
10087,43,Male,40228.73,2,5,108.3
10088,42,Male,42741.71,8,20,181.71
10089,62,Male,45194.79,7,15,167.18
10090,58,Female,56362.49,6,25,171.3
10091,46,Female,57842.53,5,0,121.97
10092,32,Male,41394.5,3,25,149.7
10093,62,Male,49634.68,5,25,182.44
10094,18,Male,82134.06,3,25,185.45
10095,42,Female,75913.15,3,0,105.86
10096,24,Female,56544.86,7,5,147.08
10097,26,Female,50570.05,4,30,184.03
10098,41,Female,51800.47,4,30,186.58
10099,18,Male,59202.77,6,0,135.5
10100,61,Male,34658.11,6,30,196.92
10101,25,Male,46139.35,3,10,118.27
10102,41,Male,24971.24,4,30,185.47
10103,28,Female,55988.35,6,20,183.51
10104,34,Female,59707.94,6,0,141.91
10105,25,Male,42752.2,6,30,197.84
10106,52,Male,73609.8,6,0,138.86
10107,52,Female,31613.52,3,5,101.13
10108,50,Male,28034.38,5,10,124.58
10109,22,Female,53366.78,2,0,102.44
10110,59,Male,65706.47,5,20,175.5
10111,56,Male,75258.92,3,30,185.31
10112,58,Male,43116.74,3,20,135.33
10113,45,Male,66180.21,5,30,213.64
10114,24,Male,49422.37,11,0,163.84
10115,26,Male,47410.59,7,25,179.94
10116,25,Male,63254.9,7,30,213.44
10117,29,Female,59784.84,4,25,172.38
10118,51,Female,26354.12,1,10,93.76
10119,50,Female,72148.11,4,20,173.84
10120,40,Female,70701.37,5,25,185.86
10121,41,Female,40616.56,4,20,149.25
10122,54,Male,55937.05,4,30,198.59
10123,52,Male,57410.45,7,30,192.31
10124,61,Female,53910.11,6,10,149.44
10125,57,Male,41745.42,8,30,219.16
10126,39,Female,39925.65,4,10,133.23
10127,44,Female,49616.69,3,25,171.51
10128,52,Male,67590.94,0,30,179.01
10129,18,Male,58154.0,4,0,128.07
10130,52,Male,44440.79,1,15,106.17
10131,54,Female,61575.48,4,5,109.18
10132,64,Male,15000.0,3,15,122.27
10133,31,Female,67231.49,5,15,147.57
10134,20,Female,23904.29,6,20,140.69
10135,18,Female,44563.39,6,10,148.44
10136,22,Male,33204.95,4,20,154.27
10137,43,Male,30579.78,4,25,176.9
10138,31,Female,67412.4,5,5,143.89
10139,56,Male,42984.48,1,25,161.19
10140,44,Male,55197.56,9,0,153.15
10141,26,Male,49296.19,7,5,131.79
10142,32,Female,57155.61,5,20,176.8
10143,32,Female,51152.33,4,30,195.92
10144,43,Male,30755.12,5,30,184.29
10145,59,Female,64944.0,4,20,178.98
10146,30,Male,42593.65,1,25,140.56
10147,49,Male,26651.27,3,20,142.78
10148,56,Male,43578.27,7,20,176.05
10149,49,Male,72511.4,6,15,195.55
10150,21,Female,62753.33,10,0,169.79
10151,47,Female,44770.22,4,30,168.22
10152,54,Female,44761.13,5,15,168.41
10153,40,Male,45175.47,6,20,163.26
10154,56,Male,81151.22,6,10,163.71
10155,62,Male,55729.03,8,15,184.05
10156,32,Female,56450.62,4,20,165.73
10157,60,Male,65454.25,3,30,186.56
10158,46,Female,53581.84,3,20,139.46
10159,53,Female,46114.37,9,0,149.93
10160,30,Female,47054.75,7,25,203.03
10161,49,Female,48925.98,2,5,113.68
10162,24,Female,49441.67,2,15,115.2
10163,39,Female,60914.44,4,15,143.4
10164,45,Male,50779.19,6,15,150.44
10165,19,Male,60989.6,9,20,205.89
10166,59,Female,48789.25,11,0,146.88
10167,62,Female,51179.53,4,20,146.36
10168,23,Male,20026.99,7,20,159.36
10169,45,Female,63744.92,7,25,182.4
10170,45,Female,55197.33,3,10,126.32
10171,61,Male,64970.15,7,0,117.42
10172,61,Female,15000.0,5,15,139.85
10173,37,Female,81325.62,2,5,115.19
10174,47,Female,47906.16,9,15,177.21
10175,28,Male,66622.74,6,20,176.7
10176,45,Male,34401.41,3,0,90.6
10177,42,Male,59191.61,6,30,208.52
10178,56,Female,34198.77,3,0,104.27
10179,50,Female,40643.47,2,0,96.46
10180,18,Male,78710.47,8,10,200.67
10181,44,Female,47139.76,4,15,149.82
10182,30,Female,53261.49,5,10,143.03
10183,58,Female,63051.02,4,30,183.96
10184,20,Female,57435.23,3,30,173.48
10185,56,Female,52256.28,4,25,176.02
10186,23,Male,55474.42,3,5,104.24
